Parameter Count: 930114
Training with 8822 image pairs
[   100,  0.0000223]     0.0017,     0.0076,    24.9765,    13h40m47s
[   200,  0.0000287]     0.0002,     0.0081,    24.7034,    13h34m05s
[   300,  0.0000351]     0.0014,     0.0080,    24.7755,    13h37m29s
[   400,  0.0000415]     0.0005,     0.0072,    24.0250,    13h40m29s
[   500,  0.0000479]     0.0019,     0.0108,    22.9722,    13h41m32s
[   600,  0.0000543]     0.0011,     0.0103,    21.9829,    13h32m19s
[   700,  0.0000607]     0.0009,     0.0125,    21.2591,    13h39m09s
[   800,  0.0000671]     0.0013,     0.0127,    20.5530,    13h39m24s
[   900,  0.0000735]     0.0014,     0.0230,    19.9145,    13h35m57s
[  1000,  0.0000799]     0.0023,     0.0261,    19.1549,    13h39m20s
[  1100,  0.0000863]     0.0027,     0.0325,    17.8838,    13h36m33s
[  1200,  0.0000927]     0.0034,     0.0367,    17.6796,    13h36m27s
[  1300,  0.0000991]     0.0053,     0.0452,    16.8416,    13h33m11s
[  1400,  0.0001055]     0.0064,     0.0558,    16.0075,    13h39m06s
[  1500,  0.0001119]     0.0084,     0.0586,    16.0109,    13h33m55s
[  1600,  0.0001183]     0.0091,     0.0681,    14.9200,    13h34m38s
[  1700,  0.0001247]     0.0111,     0.0757,    14.9048,    13h29m41s
[  1800,  0.0001311]     0.0102,     0.0873,    13.9858,    13h32m48s
[  1900,  0.0001375]     0.0134,     0.0914,    13.8757,    13h33m12s
[  2000,  0.0001439]     0.0139,     0.0959,    13.0262,    13h30m35s
[  2100,  0.0001502]     0.0142,     0.1095,    12.6919,    13h29m58s
[  2200,  0.0001566]     0.0123,     0.1136,    12.5176,    13h26m19s
[  2300,  0.0001630]     0.0159,     0.1175,    12.1175,    13h30m14s
[  2400,  0.0001694]     0.0134,     0.1245,    11.9627,    13h28m44s
[  2500,  0.0001758]     0.0167,     0.1212,    11.5949,    13h26m44s
[  2600,  0.0001822]     0.0152,     0.1447,    11.0156,    13h29m38s
[  2700,  0.0001886]     0.0138,     0.1356,    10.9242,    13h23m11s
[  2800,  0.0001950]     0.0141,     0.1318,    10.9795,    13h18m56s
[  2900,  0.0002014]     0.0173,     0.1541,    10.3211,    13h23m45s
[  3000,  0.0002078]     0.0163,     0.1484,    10.7067,    13h26m30s
[  3100,  0.0002142]     0.0163,     0.1384,    10.6281,    13h22m59s
[  3200,  0.0002206]     0.0180,     0.1503,    10.3534,    13h23m05s
[  3300,  0.0002270]     0.0213,     0.1733,     9.8631,    13h19m21s
[  3400,  0.0002334]     0.0219,     0.1712,     9.9720,    13h19m30s
[  3500,  0.0002398]     0.0239,     0.1947,     9.6178,    13h19m00s
[  3600,  0.0002462]     0.0286,     0.2134,     9.2907,    13h20m29s
[  3700,  0.0002526]     0.0339,     0.2263,     8.9080,    13h18m37s
[  3800,  0.0002590]     0.0341,     0.2545,     8.7269,    13h24m05s
[  3900,  0.0002654]     0.0329,     0.2487,     8.9347,    13h16m58s
[  4000,  0.0002718]     0.0430,     0.2572,     8.9650,    13h17m11s
[  4100,  0.0002782]     0.0442,     0.2722,     8.4143,    13h17m28s
[  4200,  0.0002846]     0.0505,     0.3038,     8.4465,    13h16m29s
[  4300,  0.0002910]     0.0489,     0.3069,     8.1647,    13h17m47s
[  4400,  0.0002973]     0.0542,     0.3055,     8.2223,    13h15m36s
[  4500,  0.0003037]     0.0612,     0.3299,     7.9904,    13h12m45s
[  4600,  0.0003101]     0.0736,     0.3688,     7.5707,    13h12m16s
[  4700,  0.0003165]     0.0706,     0.3625,     7.5617,    13h12m02s
[  4800,  0.0003229]     0.0734,     0.3664,     7.7575,    13h12m03s
[  4900,  0.0003293]     0.0728,     0.3708,     7.4845,    13h11m15s
[  5000,  0.0003357]     0.0714,     0.3721,     7.8199,    13h11m27s
[  5100,  0.0003421]     0.0730,     0.3822,     7.4045,    13h10m54s
[  5200,  0.0003485]     0.0864,     0.4077,     7.2359,    13h10m48s
[  5300,  0.0003549]     0.0872,     0.3947,     7.3918,    13h08m31s
[  5400,  0.0003613]     0.0741,     0.3820,     7.5714,    13h12m08s
[  5500,  0.0003677]     0.0842,     0.4047,     7.2911,    13h04m35s
[  5600,  0.0003741]     0.0878,     0.4240,     6.9912,    13h06m12s
[  5700,  0.0003805]     0.1022,     0.4291,     6.8588,    13h08m46s
[  5800,  0.0003869]     0.0955,     0.4205,     6.9788,    13h11m41s
[  5900,  0.0003933]     0.0995,     0.4509,     6.7764,    13h06m05s
[  6000,  0.0003997]     0.1020,     0.4275,     6.9750,    13h03m40s
[  6100,  0.0003997]     0.1111,     0.4653,     6.8574,    12h58m13s
[  6200,  0.0003993]     0.1167,     0.4639,     6.4971,    12h59m55s
[  6300,  0.0003990]     0.1072,     0.4505,     6.8361,    13h00m23s
[  6400,  0.0003986]     0.1219,     0.4800,     6.5143,    13h03m20s
[  6500,  0.0003983]     0.1138,     0.4556,     6.6688,    12h59m33s
[  6600,  0.0003979]     0.1233,     0.4797,     6.4473,    12h58m49s
[  6700,  0.0003976]     0.1274,     0.4829,     6.4630,    12h57m10s
[  6800,  0.0003972]     0.1237,     0.4913,     6.3664,    13h00m25s
[  6900,  0.0003969]     0.1242,     0.4800,     6.3065,    12h57m02s
[  7000,  0.0003965]     0.1334,     0.5069,     6.1234,    12h55m26s
